Country                                                                                                                                                                                                  Flights    
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -----------
Venezuela, Bolivarian Republic of                                                                                                                                                                                710
Lao People's Democratic Republic                                                                                                                                                                                 171
Saint Kitts and Nevis                                                                                                                                                                                             23
Puerto Rico                                                                                                                                                                                                      160
Antigua and Barbuda                                                                                                                                                                                               20
Finland                                                                                                                                                                                                          338
Sao Tome and Principe                                                                                                                                                                                             29
Iran, Islamic Republic of                                                                                                                                                                                        816
Martinique                                                                                                                                                                                                        10
Virgin Islands, British                                                                                                                                                                                           31
Rwanda                                                                                                                                                                                                            50
Bahrain                                                                                                                                                                                                           12
Eswatini                                                                                                                                                                                                          23
Northern Mariana Islands                                                                                                                                                                                          43
Christmas Island                                                                                                                                                                                                  11
Gambia                                                                                                                                                                                                            15
Liberia                                                                                                                                                                                                          160
Guatemala                                                                                                                                                                                                        245
Andorra                                                                                                                                                                                                            7
New Zealand                                                                                                                                                                                                      594
Cabo Verde                                                                                                                                                                                                       115
Korea, Republic of                                                                                                                                                                                               332
Angola                                                                                                                                                                                                           445
Nauru                                                                                                                                                                                                              7
Uganda                                                                                                                                                                                                           154
Monaco                                                                                                                                                                                                             7
Egypt                                                                                                                                                                                                            309
Cocos (Keeling) Islands                                                                                                                                                                                            8
Kyrgyzstan                                                                                                                                                                                                        38
Mali                                                                                                                                                                                                             132
Italy                                                                                                                                                                                                            669
Azerbaijan                                                                                                                                                                                                        87
Virgin Islands, U.S.                                                                                                                                                                                              52
Brazil                                                                                                                                                                                                          4511
Congo, The Democratic Republic of the                                                                                                                                                                            678
Guinea-Bissau                                                                                                                                                                                                     10
Bermuda                                                                                                                                                                                                           21
Netherlands                                                                                                                                                                                                      162
Palau                                                                                                                                                                                                              5
Greenland                                                                                                                                                                                                        359
Cameroon                                                                                                                                                                                                         235
Jordan                                                                                                                                                                                                            43
Madagascar                                                                                                                                                                                                       663
Belarus                                                                                                                                                                                                           67
Marshall Islands                                                                                                                                                                                                 353
Cayman Islands                                                                                                                                                                                                    27
Hong Kong                                                                                                                                                                                                         36
Guadeloupe                                                                                                                                                                                                        56
Malaysia                                                                                                                                                                                                         687
Saint Helena, Ascension and Tristan da Cunha                                                                                                                                                                      20
Sri Lanka                                                                                                                                                                                                        361
Western Sahara                                                                                                                                                                                                    29
Gibraltar                                                                                                                                                                                                          9
Indonesia                                                                                                                                                                                                       2408
Jamaica                                                                                                                                                                                                           83
Germany                                                                                                                                                                                                         1161
Philippines                                                                                                                                                                                                      763
Uzbekistan                                                                                                                                                                                                       128
Cuba                                                                                                                                                                                                             334
Lithuania                                                                                                                                                                                                         63
Iceland                                                                                                                                                                                                          409
Senegal                                                                                                                                                                                                          159
Saint Martin (French part)                                                                                                                                                                                        24
Barbados                                                                                                                                                                                                          13
Turks and Caicos Islands                                                                                                                                                                                          68
Guernsey                                                                                                                                                                                                          16
Kuwait                                                                                                                                                                                                            23
Hungary                                                                                                                                                                                                           65
Cyprus                                                                                                                                                                                                            54
Malawi                                                                                                                                                                                                           122
Switzerland                                                                                                                                                                                                      146
United States                                                                                                                                                                                                  22040
Estonia                                                                                                                                                                                                           52
Algeria                                                                                                                                                                                                          448
Aruba                                                                                                                                                                                                              9
Comoros                                                                                                                                                                                                           47
Ecuador                                                                                                                                                                                                          287
Nigeria                                                                                                                                                                                                          278
Samoa                                                                                                                                                                                                             43
North Macedonia                                                                                                                                                                                                   26
El Salvador                                                                                                                                                                                                       14
Tanzania, United Republic of                                                                                                                                                                                     333
Malta                                                                                                                                                                                                             16
Mongolia                                                                                                                                                                                                         263
Bosnia and Herzegovina                                                                                                                                                                                            47
Bahamas                                                                                                                                                                                                          402
Ethiopia                                                                                                                                                                                                         556
Lebanon                                                                                                                                                                                                           25
Montenegro                                                                                                                                                                                                        45
Saudi Arabia                                                                                                                                                                                                     367
Iraq                                                                                                                                                                                                             123
American Samoa                                                                                                                                                                                                    45
Chad                                                                                                                                                                                                             242
Macao                                                                                                                                                                                                             14
Australia                                                                                                                                                                                                       6453
Bolivia, Plurinational State of                                                                                                                                                                                  428
Mauritius                                                                                                                                                                                                         24
Belize                                                                                                                                                                                                           237
United Kingdom                                                                                                                                                                                                  1355
Mexico                                                                                                                                                                                                          1087
Albania                                                                                                                                                                                                           12
Myanmar                                                                                                                                                                                                          462
Sierra Leone                                                                                                                                                                                                      84
Sweden                                                                                                                                                                                                           579
CÃƒÂ´te d'Ivoire                                                                                                                                                                                                 222
Viet Nam                                                                                                                                                                                                         368
Honduras                                                                                                                                                                                                         312
Falkland Islands (Malvinas)                                                                                                                                                                                       37
Kenya                                                                                                                                                                                                            432
Nicaragua                                                                                                                                                                                                        135
Ukraine                                                                                                                                                                                                          398
Syrian Arab Republic                                                                                                                                                                                              85
Trinidad and Tobago                                                                                                                                                                                               23
China                                                                                                                                                                                                           2779
Argentina                                                                                                                                                                                                       1278
Brunei Darussalam                                                                                                                                                                                                  8
Fiji                                                                                                                                                                                                             300
Solomon Islands                                                                                                                                                                                                  406
Palestine, State of                                                                                                                                                                                               31
Armenia                                                                                                                                                                                                           21
Kiribati                                                                                                                                                                                                         252
Serbia                                                                                                                                                                                                            43
Peru                                                                                                                                                                                                             469
Czechia                                                                                                                                                                                                          141
Libya                                                                                                                                                                                                            221
British Indian Ocean Territory                                                                                                                                                                                    16
India                                                                                                                                                                                                           1486
Burkina Faso                                                                                                                                                                                                     274
Maldives                                                                                                                                                                                                         133
New Caledonia                                                                                                                                                                                                    151
Croatia                                                                                                                                                                                                           89
Jersey                                                                                                                                                                                                             4
Wallis and Futuna                                                                                                                                                                                                 17
Tuvalu                                                                                                                                                                                                            16
Isle of Man                                                                                                                                                                                                       12
Greece                                                                                                                                                                                                           488
Botswana                                                                                                                                                                                                         174
Austria                                                                                                                                                                                                           91
Dominica                                                                                                                                                                                                          27
United Arab Emirates                                                                                                                                                                                             158
Timor-Leste                                                                                                                                                                                                       69
Equatorial Guinea                                                                                                                                                                                                 61
Israel                                                                                                                                                                                                           163
Uruguay                                                                                                                                                                                                          163
Zimbabwe                                                                                                                                                                                                         148
Qatar                                                                                                                                                                                                             39
French Guiana                                                                                                                                                                                                     83
Tonga                                                                                                                                                                                                             69
Poland                                                                                                                                                                                                           220
Suriname                                                                                                                                                                                                         159
Canada                                                                                                                                                                                                          5421
Bulgaria                                                                                                                                                                                                         110
Afghanistan                                                                                                                                                                                                      372
Montserrat                                                                                                                                                                                                        17
Central African Republic                                                                                                                                                                                         241
Togo                                                                                                                                                                                                              23
Burundi                                                                                                                                                                                                           39
Sudan                                                                                                                                                                                                            264
Saint Vincent and the Grenadines                                                                                                                                                                                  46
Guyana                                                                                                                                                                                                           288
South Sudan                                                                                                                                                                                                       42
Slovenia                                                                                                                                                                                                          32
Sint Maarten (Dutch part)                                                                                                                                                                                          9
Haiti                                                                                                                                                                                                             56
Tunisia                                                                                                                                                                                                          105
Latvia                                                                                                                                                                                                            34
Ireland                                                                                                                                                                                                          193
Mayotte                                                                                                                                                                                                           13
Niue                                                                                                                                                                                                              15
Faroe Islands                                                                                                                                                                                                     11
Slovakia                                                                                                                                                                                                          75
Mozambique                                                                                                                                                                                                       409
Gabon                                                                                                                                                                                                            326
RÃƒÂ©union                                                                                                                                                                                                        20
Somalia                                                                                                                                                                                                          226
Micronesia, Federated States of                                                                                                                                                                                   64
Guinea                                                                                                                                                                                                           121
Thailand                                                                                                                                                                                                         500
Norway                                                                                                                                                                                                           603
France                                                                                                                                                                                                          1382
Grenada                                                                                                                                                                                                           23
Benin                                                                                                                                                                                                             51
Korea, Democratic People's Republic of                                                                                                                                                                            56
Dominican Republic                                                                                                                                                                                               124
Luxembourg                                                                                                                                                                                                         9
Belgium                                                                                                                                                                                                           72
Japan                                                                                                                                                                                                            995
Bhutan                                                                                                                                                                                                            46
Turkmenistan                                                                                                                                                                                                      54
Morocco                                                                                                                                                                                                          260
Saint BarthÃƒÂ©lemy                                                                                                                                                                                               11
Tajikistan                                                                                                                                                                                                        43
Georgia                                                                                                                                                                                                           35
Spain                                                                                                                                                                                                            594
Yemen                                                                                                                                                                                                            186
Oman                                                                                                                                                                                                             201
Norfolk Island                                                                                                                                                                                                    10
Saint Lucia                                                                                                                                                                                                       18
Turkey                                                                                                                                                                                                           704
Papua New Guinea                                                                                                                                                                                                4036
Cook Islands                                                                                                                                                                                                      98
Eritrea                                                                                                                                                                                                           48
Taiwan, Province of China                                                                                                                                                                                        221
United States Minor Outlying Islands                                                                                                                                                                              27
Bangladesh                                                                                                                                                                                                       180
Ghana                                                                                                                                                                                                             41
Congo                                                                                                                                                                                                            285
Denmark                                                                                                                                                                                                          184
Romania                                                                                                                                                                                                          185
Pakistan                                                                                                                                                                                                         705
Singapore                                                                                                                                                                                                         44
Colombia                                                                                                                                                                                                        1650
Lesotho                                                                                                                                                                                                          177
Panama                                                                                                                                                                                                           406
Seychelles                                                                                                                                                                                                        62
Cambodia                                                                                                                                                                                                         124
Mauritania                                                                                                                                                                                                       199
Niger                                                                                                                                                                                                             60
Chile                                                                                                                                                                                                            584
Russian Federation                                                                                                                                                                                              2247
Nepal                                                                                                                                                                                                            441
South Africa                                                                                                                                                                                                     923
Djibouti                                                                                                                                                                                                          44
French Polynesia                                                                                                                                                                                                 535
Zambia                                                                                                                                                                                                           222
Portugal                                                                                                                                                                                                         224
Saint Pierre and Miquelon                                                                                                                                                                                         25
Guam                                                                                                                                                                                                              26
Kazakhstan                                                                                                                                                                                                       284
Anguilla                                                                                                                                                                                                          14
Costa Rica                                                                                                                                                                                                       313
Bonaire, Sint Eustatius and Saba                                                                                                                                                                                  33
Moldova, Republic of                                                                                                                                                                                              24
Paraguay                                                                                                                                                                                                         162
Vanuatu                                                                                                                                                                                                          327

(235 rows affected)
